unique_values,counts
NEUMATICO,3264
TRANSMISION,2396
MAQUINA_ESTRUCTURA,2243
HIDRAULICO_DIRECCION,2045
HIDRAULICO_FRENOS,1504
LUBRICACION_MOTOR,1303
NEUMATICOS_AROS,1268
ELECTRICO_MAQUINA,1155
COMBUSTIBLE_MOTOR,1155
ENFRIAMIENTO_MOTOR,1155
CABINA,1084
ELECTRICO_MOTOR,1038
HIDRAULICO_LEVANTE,1034
SUSPENSION,927
MAQUINA_SISTEMA_NEUMATICO,774
DIFERENCIAL,747
GENERAL_MOTOR,694
ADMISION_Y_ESCAPE,586
ACONDICIONADOR_DE_AIRE,547
ESTRUCTURAL,466
CABINA_AC,427
MANDOS_FINALES,336
TANQUE_HIDRAULICO,326
HIDRAULICO_FRENO,311
ELECTRICO_FRENOS,275
REFRIGERACION_MOTOR,261
PM,258
ACCIDENTE,236
GENERAL_FRENOS,211
AFEX,207
TANQUE_DE_COMBUSTIBLE,192
NEUMATICO_PARTIDA,173
MAZAS,170
ELECTRICO_FRENO,145
ELECTRICO_DIRECCION,133
SMARTCAP,132
RADIO_COMUNICACION,131
ELECTRICO_LEVANTE,122
GENERAL_DIRECCION,118
ADMISION_Y_ESCAPE_MOTOR,116
COMUNICACION,110
ENFRIAMIENTO_FRENO,95
CONVERTIDOR,95
NEUMATICOS_Y_AROS,89
ENFRIAMIENTO_MAQUINA,87
LUBRICACION_ENGRASE,79
MANDO_FINAL,66
ECAS,63
CONTRA_INCENDIO,62
TECNOLOGIA,57
,54
MODULAR,53
COUPLING_MOTOR,49
FRENO_CABINA,33
PDA,32
OTROS_MAQUINA,24
LUBRICACION_ESTRUCTURAL,21
LTE,19
EXTENSION PM,18
CPE,15
SISTEMAS_DE_SEGURIDAD,15
TREN_DE_FUERZA_CONTROL,13
FACTOR_NO_MECANICO,11
SISTEMA_DE_LUBRICACION_DE_MOTOR,10
TRANSMISION_CABINA,10
SUBSISTEMA_DE_ADMISION_ESCAPE,9
LEVANTE_CABINA,9
PROPULSION,8
PTO,8
CHASIS,7
CONTROL_DE_MOTOR,7
SISTEMA_FRENOS_MECANICOS,7
CABINA_980E,7
UNIDAD_FUERZA,6
MEMS,6
ESPEJOS_RETROVISORES,6
SISTEMA_DE_REFRIGERACION,5
SISTEMA_ELECTRICO_MOTOR-ECM,5
ESCALERAS,5
MOTOR_DE_TRACCION,5
SISTEMA_DIRECCION,4
SISTEMA_DE_CONTROL_DE__MOVIMIENTO,4
MAQUINA,4
CONTROL_DE_DIRECCION,3
ELEMENTOS_MOTOR,3
SISTEMA_DE_REFRIGERACIÓN,3
SUSPENSIONES_DELANTERAS,3
LETREROS LUMINOSOS,3
SISTEMA_DE_COMBUSTIBLE,3
COMPONENTES_HIDRAULICOS,2
ERICAR,2
GPS,2
SENSORES_Y_SWITCH,2
TREN_DE_FUERZA,2
SISTEMA_PARTIDA,2
POSICIÓN_6,2
BATERIA,2
S/I,2
CAMARAS,2
FILTRO_HIDRAULICO,1
MAZA,1
TOLVA,1
BARANDAS,1
ENFRIADOR_DE_DIRECCION_Y_FRENO,1
SEÑALETICA_Y_ELEMENTOS_DE_SEGURIDAD,1
SISTEMA_CONTRA_INCENDIO,1
HOUSING,1
LINEAS_DE_GRASA,1
MOTOR_DE_ELECTRICO,1
BOTAPIEDRAS,1
DEPOSITO_DE_ACEITE_HIDRAULICO,1
POSICIÓN_1,1
PROYECTO,1
LEVANTE,1
Neumaticos,1
POSICIÓN_4,1
SISTEMA_DE_REFRIGERACION_FRENOS,1
ELECTRICO_MÁQUINA,1
POSICIÓN_2,1
ERICAR_CINTURON_BALIZA,1
LUCES/TROCHAS,1
